,Unnamed: 0,title,artistName,yearAsString,genre,image,brightness,blockCount,colorCount,pink,brown,yellow,blue,gray,purple,black,orange,green,white,red,mean_b_gradients_horiz,mean_g_gradients_horiz,mean_r_gradients_horiz,mean_b_gradients_vert,mean_g_gradients_vert,mean_r_gradients_vert,label
0,0,Variation,Alexej von Jawlensky,1916,abstract,https://uploads6.wikiart.org/images/alexej-von-jawlensky/variation-1916.jpg!Large.jpg,42.47123306,8,4,0,48.09060403,0.161073826,0,27.40939597,0,0.05704698,8.258389262,0,12.93624161,3.087248322,0.009254199,0.006421483,0.005148472,0.008152473,0.00384459,0.004240076,0
1,1,Variation: Field of Tulips,Alexej von Jawlensky,1916,abstract,https://uploads4.wikiart.org/images/alexej-von-jawlensky/variation-field-of-tulips-1916.jpg!Large.jpg,34.2658994,6,2,0,49.36594203,0,0,46.20652174,0,0.025362319,0.018115942,0,4.384057971,0,0.004101691,0.004101723,0.001129855,0.006916723,0.003304403,0.001350278,16
2,2,Variation: Tr?umerei,Alexej von Jawlensky,1916,abstract,https://uploads7.wikiart.org/images/alexej-von-jawlensky/variation-tr-umerei-1916.jpg!Large.jpg,47.65175998,5,2,0,7.762048193,0,0,92.18373494,0,0,0,0,0.054216867,0,0.006322375,0.006314155,0.002248624,0.007160711,0.006288876,0,14
3,3,Variation: Glorreicher Abend - Sommersegen II,Alexej von Jawlensky,1917,abstract,https://uploads3.wikiart.org/images/alexej-von-jawlensky/variation-glorreicher-abend-sommersegen-ii-1917.jpg!Large.jpg,39.2272562,2,2,0,45.42384106,1.456953642,0,50.9205298,0,0,1.741721854,0,0.456953642,0,0.003356795,0.000982497,0.006351626,0.007437384,0.007313416,0.003068942,6
4,4,Variation: Z?rtlichkeiten,Alexej von Jawlensky,1917,abstract,https://uploads3.wikiart.org/images/alexej-von-jawlensky/variation-z-rtlichkeiten-1917.jpg!Large.jpg,34.81525944,5,2,0,54.04421769,0,0,44.05442177,0,0.132653061,1.765306122,0,0,0.003401361,0.002265999,0.004381961,0.008827147,0.006578947,0.008825576,0.004758272,16
5,5,Autumn Sound,Alexej von Jawlensky,1918,abstract,https://uploads0.wikiart.org/images/alexej-von-jawlensky/autumn-sound-1918.jpg!Large.jpg,50.45452033,10,2,0,25.43959732,0.006711409,0,66.54362416,0,0,4.654362416,0,3.355704698,0,0.002126279,0.005782854,0.009053379,0.001652407,0.006616152,0.003913605,8
6,6,Variation,Alexej von Jawlensky,1918,abstract,https://uploads6.wikiart.org/images/alexej-von-jawlensky/variation-1918.jpg!Large.jpg,41.68680691,5,4,0,40.33112583,0.069536424,0,46.17880795,0,5.413907285,7.155629139,0,0.844370861,0.006622517,0.008281864,0.005237995,0.005944472,0.007042002,0.005523673,0.008174776,7
7,7,Variation: Sonnenaufgang,Alexej von Jawlensky,1918,abstract,https://uploads2.wikiart.org/images/alexej-von-jawlensky/variation-sonnenaufgang-1918.jpg!Large.jpg,47.17251032,6,2,0,24.39802632,0,0,74.85526316,0,0.019736842,0.019736842,0,0.707236842,0,0.003104116,0.001720288,0.006812582,0.007968274,0.006754512,0.005354216,8
8,8,Meditation,Alexej von Jawlensky,1936,abstract,https://uploads7.wikiart.org/images/alexej-von-jawlensky/meditation-1936.jpg!Large.jpg,20.5548765,7,1,0,95.30194805,0,0,3.032467532,0,0.097402597,0,0,1.568181818,0,0.001919118,0.00454466,0.005957123,0.001094015,0.003309626,0.002069014,4
9,9,Quadrado Convexo,Almir Mavignier,1956,abstract,https://uploads8.wikiart.org/images/almir-mavignier/quadrado-convexo-1956.jpg,29.13758006,6,1,0,2.484924623,0,0,0.766331658,0,0,2.846733668,0,0,93.90201005,0.001847063,0.002290789,0.006171435,0.005870962,8.47E-05,0.001308305,10
